Domain,Area Code,Area,Element,Item Code,Item,Year Code,Unit,Value,Flag Description
Fertilizers,84,Greece,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,12.53,Calculated data
Fertilizers,89,Guatemala,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,91.06,Calculated data
Fertilizers,89,Guatemala,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,27.12,Calculated data
Fertilizers,89,Guatemala,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,29.64,Calculated data
Fertilizers,90,Guinea,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,1.12,Calculated data
Fertilizers,90,Guinea,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,0.54,Calculated data
Fertilizers,90,Guinea,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.54,Calculated data
Fertilizers,91,Guyana,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,38.88,Calculated data
Fertilizers,91,Guyana,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,13.47,Calculated data
Fertilizers,91,Guyana,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,1.51,Calculated data
Fertilizers,95,Honduras,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,30.72,Calculated data
Fertilizers,95,Honduras,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,28.29,Calculated data
Fertilizers,95,Honduras,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,20.64,Calculated data
Fertilizers,97,Hungary,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,78.17,Calculated data
Fertilizers,97,Hungary,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,17.75,Calculated data
Fertilizers,97,Hungary,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,17.49,Calculated data
Fertilizers,99,Iceland,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,94,Calculated data
Fertilizers,99,Iceland,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,30.69,Calculated data
Fertilizers,99,Iceland,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,23.06,Calculated data
Fertilizers,100,India,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,102.51,Calculated data
Fertilizers,100,India,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,41.18,Calculated data
Fertilizers,100,India,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,14.17,Calculated data
Fertilizers,101,Indonesia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,61.27,Calculated data
Fertilizers,101,Indonesia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,17.11,Calculated data
